Eruption Number,Volcano Name,Eruption Category,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Evidence Type,Evidence Method
15801,Sundoro,Confirmed,1.0,1902,5.0,1.0,1902.0,5.0,25.0,Observations,Reported
12430,Pelee,Confirmed,4.0,1902,4.0,23.0,1905.0,10.0,5.0,Observations,Reported
14045,Nyamulagira,Confirmed,0.0,1902,4.0,22.0,,,,Observations,Reported
11001,Momotombo,Confirmed,2.0,1902,3.0,31.0,,,,Observations,Reported
16120,Raung,Confirmed,2.0,1902,2.0,16.0,1902.0,2.0,27.0,Observations,Reported
10071,Kilauea,Confirmed,0.0,1902,2.0,14.0,1902.0,2.0,,Observations,Reported
17763,Asamayama,Confirmed,2.0,1902,2.0,7.0,1902.0,2.0,7.0,Observations,Reported
15890,Merapi,Confirmed,1.0,1902,2.0,3.0,1902.0,2.0,3.0,Observations,Reported
16727,Kanlaon,Confirmed,2.0,1902,1.0,31.0,,,,Observations,Reported
20384,Redoubt,Confirmed,3.0,1902,1.0,18.0,,,,Observations,Reported
14093,Nyiragongo,Confirmed,1.0,1902,,,,,,Observations,Reported
16796,Mayon,Confirmed,1.0,1902,,,,,,Observations,Reported
15644,Salak,Confirmed,2.0,1902,,,1903.0,,,Observations,Reported
19778,Seguam,Confirmed,3.0,1902,,,,,,Observations,Reported
18051,Akita-Komagatake,Confirmed,1.0,1902,,,,,,Observations,Reported
11050,Concepcion,Confirmed,2.0,1902,,,,,,Observations,Reported
11328,Purace,Confirmed,2.0,1902,,,,,,Observations,Reported
11854,Lascar,Confirmed,2.0,1902,,,,,,Observations,Reported
21003,Villarrica,Confirmed,2.0,1902,,,,,,Sidereal,Varve Count
19096,Avachinsky,Confirmed,2.0,1901,7.0,7.0,1901.0,7.0,13.0,Observations,Reported
14308,"Fournaise, Piton de la",Confirmed,2.0,1901,7.0,4.0,1901.0,7.0,6.0,Observations,Reported
16214,Rinjani,Confirmed,2.0,1901,6.0,1.0,1901.0,6.0,2.0,Observations,Reported
15952,Kelud,Confirmed,3.0,1901,5.0,22.0,1901.0,5.0,23.0,Observations,Reported
16418,Banda Api,Confirmed,2.0,1901,5.0,18.0,,,,Observations,Reported
11894,Tupungatito,Confirmed,2.0,1901,4.0,,,,,Observations,Reported
14307,"Fournaise, Piton de la",Confirmed,2.0,1901,2.0,21.0,1901.0,2.0,25.0,Observations,Reported
13584,Soputan,Confirmed,2.0,1901,2.0,4.0,,,,Observations,Reported
13572,Semeru,Confirmed,2.0,1901,1.0,29.0,1901.0,1.0,30.0,Observations,Reported
16576,Dukono,Confirmed,2.0,1901,,,,,,Observations,Reported
14092,Nyiragongo,Confirmed,1.0,1901,,,,,,Observations,Reported
14044,Nyamulagira,Confirmed,2.0,1901,,,,,,Observations,Reported
18914,Iliinsky,Confirmed,3.0,1901,,,,,,Observations,Reported
20124,Pavlof,Confirmed,2.0,1901,,,,,,Observations,Reported
16213,Rinjani,Confirmed,2.0,1900,11.0,30.0,1900.0,12.0,2.0,Observations,Reported
15559,Dempo,Confirmed,2.0,1900,10.0,26.0,1900.0,10.0,27.0,Observations,Reported
17826,Kusatsu-Shiranesan,Confirmed,1.0,1900,10.0,1.0,1900.0,10.0,1.0,Observations,Reported
17912,Adatarayama,Confirmed,2.0,1900,7.0,17.0,1900.0,7.0,17.0,Observations,Reported
15558,Dempo,Confirmed,2.0,1900,6.0,4.0,1900.0,6.0,4.0,Observations,Reported
20412,Wrangell,Confirmed,2.0,1900,6.0,,,,,Observations,Reported
14306,"Fournaise, Piton de la",Confirmed,0.0,1900,5.0,11.0,1900.0,5.0,30.0,Observations,Reported
16658,Gamalama,Uncertain,1.0,1900,5.0,,1900.0,6.0,4.0,Uncertain,Unspecified
13571,Semeru,Confirmed,2.0,1900,3.0,29.0,1900.0,4.0,11.0,Observations,Reported
16795,Mayon,Confirmed,2.0,1900,3.0,1.0,1900.0,3.0,6.0,Observations,Reported
13153,Erebus,Uncertain,2.0,1900,2.0,,,,,Uncertain,Unspecified
17762,Asamayama,Confirmed,2.0,1900,1.0,22.0,1901.0,10.0,,Observations,Reported
